Timestamp,SiteID,Day of Week,Scientist,Verified By,checksum
1990-09-05T10:00:00Z,AK1,4,AK1_SCI22,dicgr128,bf25eb13ae7756ea9526c3f8eab1776a
1990-10-03T09:55:00Z,AK1,4,AK1_SCI80,dicgr128,d8b5dc6eefde547ff6ddc2fe07f4bc7c
1990-10-31T08:45:00Z,AK1,4,AK1_SCI80,dicgr128,5c4c8fe964a85d8f249e582b9f666405
1990-11-28T09:15:00Z,AK1,4,AK1_SCI28,dicgr128,752283461877e48e19f4c3e2b3ec8561
1991-01-16T09:00:00Z,AK1,4,AK1_SCI28,dicgr128,a43148850a3a31bd98d74df84bb1fbc8
1991-02-13T08:50:00Z,AK1,4,AK1_SCI80,dicgr128,22553120f550affaeab8918802db0bd9
1991-03-13T09:00:00Z,AK1,4,AK1_SCI80,dicgr128,484a20e7e3186f153af93863b51d2c67
1991-04-10T11:00:00Z,AK1,4,AK1_SCI28,dicgr128,1bb7451b0e4c81ef076988e20a21de18
1991-05-08T10:45:00Z,AK1,4,AK1_SCI22,dicgr128,79c4e9333ba61d9c507b543d71586ebb
1991-06-05T10:30:00Z,AK1,4,AK1_SCI80,dicgr128,a621072936b0ca107bf4569d0b81a6ec
1991-07-03T10:00:00Z,AK1,4,AK1_SCI28,dicgr128,300aeaa20a98b98d25f8c60ac2cea937
1991-07-31T10:00:00Z,AK1,4,AK1_SCI28,dicgr128,33b81fdee3dcb183505fdb9b04fc6d02
1991-08-28T09:45:00Z,AK1,4,AK1_SCI28,dicgr128,6fc6e0e8a1e8f1997fcc89474df16fc3
1991-09-25T10:00:00Z,AK1,4,AK1_SCI22,dicgr128,3a4bc860e0334e2a493f722b41557b7e
1991-10-23T10:00:00Z,AK1,4,AK1_SCI80,dicgr128,2fc0812aa0dfa703c09df00a09da1307
1991-11-20T09:00:00Z,AK1,4,AK1_SCI80,dicgr128,84237b82b043b52e4626e24bebded218
1991-12-18T09:00:00Z,AK1,4,AK1_SCI28,dicgr128,866fc35f9b3733de4084b1f5cb132576
1992-01-15T08:50:00Z,AK1,4,AK1_SCI80,dicgr128,3f183afcad1dbd93424e1b1bfdb89c1e
1992-02-12T09:15:00Z,AK1,4,AK1_SCI80,dicgr128,7bec1777e2de63753dc8c7b7cf2e5cc4
1992-03-11T09:10:00Z,AK1,4,AK1_SCI22,dicgr128,628d289103d1a87a3018b470fa20542e
1992-04-08T09:30:00Z,AK1,4,AK1_SCI28,dicgr128,baab40c196fa8b38a07cf410d3725630
1992-05-06T09:45:00Z,AK1,4,AK1_SCI80,dicgr128,92d1772c338d23d215938ba1de2833a1
1992-06-03T09:45:00Z,AK1,4,AK1_SCI22,dicgr128,c24d6497165c08564ba943d343b0070e
1992-07-01T09:30:00Z,AK1,4,AK1_SCI22,dicgr128,7e993e58358787f40aae21f896602c0e
1992-07-29T09:45:00Z,AK1,4,AK1_SCI28,dicgr128,0ed44d28309cb8e8c1eadc60756a8cb9
1992-08-26T10:00:00Z,AK1,4,AK1_SCI28,dicgr128,24e7dbb565ce16a6396cd3c4d0787667
1992-09-23T09:15:00Z,AK1,4,AK1_SCI80,dicgr128,441323252852b47ea6e6ef1fdf08dddf
1992-10-21T08:50:00Z,AK1,4,AK1_SCI80,dicgr128,0a23a1e8298741f23cad8b612d063e16
1992-11-18T08:50:00Z,AK1,4,AK1_SCI80,dicgr128,391c69d83716aadf1339a5d8fb10f781
