,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
11316,dc441f31a449d53afa884917f4985414,3.1,2.0,8.0,95.6,0.4,0.0,45.1,24.0,-13.899640284244766,85.0,3.0,1.24,8.4,7.17,DN10,Dunedin,Monowai below Gates,167.5341852,-45.8066121,2013-09-10T13:30:00Z
11317,dc45544e5b9c2c2dd1a957e2e252c968,0.3,1.0,3.0,94.1,0.9,0.0,60.2,4.0,13.62534403350609,30.0,2.0,0.68,7.9,7.92,TK4,Tekapo,Waitaki at Kurow,170.4510967,-44.70218919,2007-06-14T13:00:00Z
11318,dc497aeb91e1332b966e5dd073e6585c,3.8,11.0,0.0,99.1,1.0,13.4,47.7,132.0,-15.099668871581256,317.0,12.0,1.61,11.4,7.6,TK3,Tekapo,Opuha at Skipton Br.,170.9796325,-44.08056659,2016-04-14T08:49:00Z
11319,dc4b0855311677060f4413b4217148ef,4.3,7.0,1.0,98.4,1.7,382.2,59.3,113.0,14.102482052156637,275.0,213.0,305.0,8.8,7.62,CH4,Christchurch,Waimakariri above old HW Br.,172.6416309,-43.41896498,2020-09-16T12:15:00Z
11320,dc4c2b077e74f71c0975df3dea1a8cb0,2.8,2.0,6.0,100.8,3.3,6.3,70.3,12.0,-15.499677417010972,39.0,5.0,0.77,13.2,7.65,WN2,Wellington,Hutt at Kaitoke,175.1913608,-41.0526002,2017-01-11T09:05:00Z
11321,dc51ebadd549df0c368a55665a518f48,7.6,16.0,5.0,95.5,11.1,816.4,55.8,193.0,-13.326665000344237,402.0,52.0,32.8,7.4,7.19,DN6,Dunedin,Mataura at Parawa,168.5611638,-45.5598632,2015-05-13T08:45:00Z
11322,dc538b2454ec9e4d20fbbff878748408,1.27,1.0,6.0,111.3,1.8,19.7,100.3,2.0,15.59647396148886,80.0,5.0,0.7,17.5,8.14,TK5,Tekapo,Hakataramea above MH Br.,170.4904637,-44.726449,2008-02-14T13:30:00Z
11323,dc560f59a2257baa76ca7bed79630c7a,1.7,3.0,0.0,108.2,4.8,344.8,92.3,9.0,-15.530614927664647,118.0,9.0,3.05,13.4,7.92,TK5,Tekapo,Hakataramea above MH Br.,170.4904637,-44.726449,2015-05-07T13:25:00Z
11324,dc5b877ae05169b8818c82ce796c6065,5.3,3.0,3.0,96.8,6.7,111.2,109.8,56.0,14.915763474639842,138.0,11.0,1.81,10.8,7.66,WH1,Whangarei,Waipapa at Forest Ranger,173.6879171,-35.27520455,2016-07-16T10:10:00Z
11325,dc642463c3e441a5fba61d44e650a0f5,1.38,2.0,3.0,101.5,3.5,8.4,77.5,321.0,13.899640284244766,352.0,42.0,24.0,8.4,7.63,CH4,Christchurch,Waimakariri above old HW Br.,172.6416309,-43.41896498,2008-08-13T14:05:00Z
11326,dc6c7c8fe8a705c195b969860f34be59,0.4,0.0,8.0,100.7,3.7,24.0,80.2,144.0,-15.499677417010972,183.0,9.0,1.44,13.2,7.41,NN4,Nelson,Wairau at Tuamarina,173.9524671,-41.44049154,2017-05-10T15:15:00Z
11327,dc7146e047eaa2ce64acfc8bfdb9d9da,3.1,4.0,8.0,100.7,5.0,57.6,123.0,139.0,-12.422962610883122,248.0,13.0,2.6,6.1,7.96,WA5,Wanganui,Rangitikei at Mangaweka,175.8079005,-39.81209364,2005-06-29T09:00:00Z
11328,dc78ab808d2ba380a17a3a4c56f12711,0.96,4.0,6.0,102.6,13.7,8.6,109.6,35.0,14.742116538387558,93.0,24.0,1.64,10.3,7.64,TU2,Turangi,Tongariro at Turangi,175.8128846,-38.9962824,2018-10-18T07:30:00Z
11329,dc83f2563cca74301ad6664c2f0535f1,0.77,1.0,0.0,101.3,0.5,27.0,79.2,1.0,-15.58460779202993,44.0,4.0,1.43,13.8,7.86,CH1,Christchurch,Hurunui at Mandamus,172.5414016,-42.79210319,2019-01-16T08:30:00Z
11330,dc854fe959dad753ed7ff9cd6c7d9d9d,1.4,5.0,8.0,107.4,2.7,387.3,173.0,35.0,-15.18189711569012,163.0,10.0,3.48,11.7,8.43,HV3,Havelock Nth,Ngaruroro at Chesterhope,176.8722386,-39.59819739,2013-06-05T13:45:00Z
11331,dc887e602ed8bbe1de103933c99a04fc,1.0,3.0,8.0,102.8,0.5,148.3,101.6,448.0,-15.668120500921606,517.0,3.0,0.75,16.7,8.05,CH2,Christchurch,Hurunui at SH1 Br.,173.0964716,-42.90013799,2010-02-10T12:00:00Z
